"Sample","Species","Area","Sex","Length","Age","OtoWt"
1,"Hake","B","M",23,1,34.1
2,"Hake","C","F",26,1,42.1
3,"Hake","C","M",20,1,31.9
4,"Hake","B","F",NA,1,33.5
5,"Hake","E","F",23,1,29.2
6,"Hake","B","M",24,1,34.2
7,"Hake","B","F",24,1,40.2
8,"Hake","A","M",23,1,NA
9,"Hake","E","F",23,1,35.2
10,"Hake","D","F",34,2,87
11,"Hake","C","M",30,2,70.2
12,"Hake","C","F",36,2,NA
13,"Hake","B","F",36,2,96.5
14,"Hake","B","F",31,2,89.8
15,"Hake","D","F",31,2,74.4
16,"Hake","C","M",26,2,62.8
17,"Hake","E","M",31,2,77.4
18,"Hake","E","F",34,3,85.7
19,"Hake","C","M",35,3,92.2
20,"Hake","C","M",35,3,95.8
21,"Hake","B","M",34,3,92.9
22,"Hake","C","F",39,3,116.4
23,"Hake","B","F",42,3,156
24,"Hake","C","F",43,3,137.9
25,"Hake","E","M",42,3,137.7
26,"Hake","A","M",24,1,43
27,"Hake","C","M",21,1,32.1
28,"Hake","B","M",NA,1,29.7
29,"Hake","B","F",NA,1,29.3
30,"Hake","D","M",22,1,32.2
31,"Hake","A","F",23,1,32.8
32,"Hake","D","F",24,1,35
33,"Hake","B","M",23,1,35.4
34,"Hake","A","M",21,1,28.4
35,"Hake","D","M",22,1,27.2
36,"Hake","A","M",23,1,33.5
37,"Hake","D","F",37,2,82.7
38,"Hake","B","F",33,2,78.2
39,"Hake","A","M",34,2,85.9
40,"Hake","B","M",31,2,66.7
41,"Hake","C","M",31,2,77.7
42,"Hake","C","F",31,2,71.9
43,"Hake","B","M",30,2,78.3
44,"Hake","A","F",36,3,103.5
45,"Hake","C","F",37,3,102.3
46,"Hake","B","F",35,3,106
47,"Hake","A","F",36,3,115.2
48,"Hake","D","F",42,3,146.8
49,"Hake","D","F",36,3,107.6
50,"Hake","E","M",37,3,125.7
51,"Hake","B","F",41,4,139.9
52,"Hake","E","F",41,4,134.3
53,"Hake","C","M",43,4,146.7
54,"Hake","E","F",42,4,145.9
55,"Hake","C","F",46,4,174.4
56,"Hake","A","M",45,4,151.2
57,"Hake","E","M",43,4,146.8
58,"Hake","B","F",43,4,144.9
59,"Hake","C","M",43,5,161.4
60,"Hake","A","M",44,5,196.7
61,"Hake","E","M",44,5,NA
62,"Hake","D","F",44,5,163.1
63,"Hake","B","M",45,5,202.1
64,"Hake","E","F",45,5,166
65,"Hake","B","M",45,5,151.2
66,"Hake","B","F",41,6,167.2
67,"Hake","A","F",39,6,126.6
68,"Hake","B","F",46,6,180.2
69,"Hake","D","M",45,6,188.4
70,"Hake","C","F",49,6,192.3
71,"Hake","C","F",43,6,185.6
72,"Hake","A","F",46,6,185.7
73,"Hake","A","F",46,6,181
74,"Hake","E","M",44,6,NA
75,"Hake","E","F",47,6,175.1
76,"Hake","D","M",40,4,NA
77,"Hake","D","F",41,4,122.8
78,"Hake","E","F",41,4,NA
79,"Hake","A","M",43,4,144.3
80,"Hake","E","F",39,4,123.3
81,"Hake","D","F",40,4,138.9
82,"Hake","C","M",42,4,137
83,"Hake","B","F",47,4,182.5
84,"Hake","B","M",38,4,119.8
85,"Hake","B","M",47,5,NA
86,"Hake","D","M",44,5,180.9
87,"Hake","B","M",42,5,163.2
88,"Hake","E","M",45,5,172.4
89,"Hake","C","F",47,5,168.8
90,"Hake","B","M",45,5,188.1
91,"Hake","D","F",44,5,150
92,"Hake","B","F",46,5,153.6
93,"Hake","B","F",40,6,142.4
94,"Hake","C","M",43,6,155
95,"Hake","A","F",43,6,151.3
96,"Hake","D","M",46,6,NA
97,"Hake","B","F",40,6,145.6
98,"Hake","E","M",47,6,189.8
99,"Hake","E","F",47,6,203.6
100,"Hake","E","F",48,6,209.8
101,"Hake","E","M",42,7,180
102,"Hake","D","F",45,7,220.3
103,"Hake","C","M",43,7,180
104,"Hake","E","F",44,7,173.5
105,"Hake","B","F",47,7,207.1
106,"Hake","B","M",45,7,226.4
107,"Hake","A","F",47,7,189.8
108,"Hake","E","F",46,7,180.2
109,"Hake","B","F",45,7,199.7
110,"Hake","B","F",45,8,194
111,"Hake","A","F",45,8,193.2
112,"Hake","B","M",46,8,177.8
113,"Hake","C","F",45,8,183
114,"Hake","D","F",53,8,249.6
115,"Hake","D","M",43,8,157.8
116,"Hake","A","M",46,8,220.1
117,"Hake","A","M",48,8,186.6
118,"Hake","A","F",48,8,195.1
119,"Hake","C","F",45,8,172.2
120,"Hake","D","F",51,9,202.5
121,"Hake","D","F",47,9,203.7
122,"Hake","B","F",50,9,225.8
123,"Hake","E","F",48,9,185.2
124,"Hake","C","M",49,9,199.4
125,"Hake","B","M",48,9,218.4
126,"Hake","B","M",50,7,231.5
127,"Hake","B","F",51,7,228.5
128,"Hake","E","F",47,7,226.5
129,"Hake","A","M",42,7,186.5
130,"Hake","E","F",46,7,180.3
131,"Hake","E","M",47,7,215.6
132,"Hake","C","F",47,7,203.8
133,"Hake","B","M",46,7,189.5
134,"Hake","C","F",48,8,207
135,"Hake","C","F",45,8,173.8
136,"Hake","D","M",48,8,219.7
137,"Hake","D","M",47,8,208
138,"Hake","B","F",49,8,196.5
139,"Hake","E","M",45,8,189.9
140,"Hake","A","M",49,8,226
141,"Hake","D","F",50,8,225.5
142,"Hake","D","F",55,9,249.5
143,"Hake","C","M",47,9,231.9
144,"Hake","A","F",47,9,200.3
145,"Hake","C","F",48,9,208.1
146,"Hake","C","M",47,9,206.4
147,"Hake","A","M",47,9,207.6
148,"Hake","B","M",47,9,218.4
149,"Hake","C","M",58,9,293.5
150,"Hake","E","F",48,9,196.9
151,"Hake","A","F",46,10,227.7
152,"Hake","D","M",45,10,228.8
153,"Hake","B","M",48,10,243.5
154,"Hake","D","M",45,10,188.5
155,"Hake","A","F",50,10,261.2
156,"Hake","C","M",45,10,193.3
157,"Hake","D","F",46,10,200.4
158,"Hake","D","M",49,10,237.4
159,"Hake","D","F",50,10,231.2
160,"Hake","E","M",45,10,231.5
161,"Hake","C","F",48,11,193.3
162,"Hake","B","M",47,11,250.4
163,"Hake","B","F",47,11,251.5
164,"Hake","E","F",52,11,247.2
165,"Hake","E","F",49,11,212.4
166,"Hake","E","F",47,11,208.1
167,"Hake","C","M",50,11,248.6
168,"Hake","E","M",50,11,201.9
169,"Hake","B","F",49,11,232.6
170,"Hake","C","M",47,12,218
171,"Hake","A","M",46,12,230.7
172,"Hake","C","F",53,12,317.2
173,"Hake","E","M",50,12,254.1
174,"Hake","E","F",49,12,207.7
175,"Hake","B","F",48,12,231.2
176,"Hake","D","F",46,10,214.1
177,"Hake","D","M",45,10,210
178,"Hake","E","F",51,10,262.2
179,"Hake","C","M",50,10,236
180,"Hake","C","F",49,10,233.6
181,"Hake","C","F",50,10,256.3
182,"Hake","B","M",50,10,151.4
183,"Hake","A","F",47,10,248.2
184,"Hake","B","M",49,10,210.6
185,"Hake","D","M",47,11,221.9
186,"Hake","E","F",48,11,251.6
187,"Hake","E","F",49,11,235.5
188,"Hake","D","M",48,11,304.3
189,"Hake","E","F",48,11,203.1
190,"Hake","D","M",50,11,210.3
191,"Hake","E","M",48,11,223
192,"Hake","C","F",45,11,206.2
193,"Hake","C","F",51,12,266.1
194,"Hake","C","F",50,12,248.2
195,"Hake","B","M",70,12,385.5
196,"Hake","E","F",48,12,256.5
197,"Hake","B","F",64,12,364.6
198,"Hake","A","F",50,12,302.1
199,"Hake","E","M",58,12,389.9
200,"Hake","C","F",60,12,279.1
201,"Hake","E","M",50,13,241
202,"Hake","D","M",51,14,285.6
203,"Hake","A","M",47,14,282.7
204,"Hake","B","M",50,14,225.6
205,"Hake","C","M",54,13,288.8
206,"Hake","C","M",49,13,264.9
207,"Hake","C","M",48,13,252.5
208,"Hake","B","M",51,15,309.7
209,"Hake","C","F",49,14,285.9
210,"Hake","E","F",46,18,243.2
211,"Hake","C","M",50,13,275.8
212,"Hake","B","F",49,13,284.7
213,"Hake","E","M",55,13,289.7
214,"Hake","C","F",50,13,253.7
215,"Hake","A","M",49,13,248.4
216,"Hake","D","F",50,13,236.2
217,"Hake","E","F",55,13,285
218,"Hake","C","F",62,13,338.8
219,"Hake","D","M",56,13,NA
220,"Hake","D","M",61,15,337
221,"Hake","C","F",51,14,250.5
222,"Hake","E","M",52,16,290.8
223,"Hake","E","M",58,17,337.9
224,"Hake","D","F",49,14,240.4
225,"Hake","B","M",50,18,218
226,"Hake","C","F",49,17,272.4
